,data,valor,data_divida,porte,valor_deflacionado
72,2013-02,0.6,2013-02,Acima de 20 salários mínimos,186731688755.2762
73,2013-02,0.6,2013-02,Até 1 salário mínimo,54036823970.82385
74,2013-02,0.6,2013-02,Indisponível,3716483817.985315
75,2013-02,0.6,2013-02,Mais de 1 a 2 salários mínimos,107727728712.09448
76,2013-02,0.6,2013-02,Mais de 10 a 20 salários mínimos,159550116539.01886
77,2013-02,0.6,2013-02,Mais de 2 a 3 salários mínimos,122099697803.53793
78,2013-02,0.6,2013-02,Mais de 3 a 5 salários mínimos,162425253505.3688
79,2013-02,0.6,2013-02,Mais de 5 a 10 salários mínimos,197364216177.31744
80,2013-02,0.6,2013-02,Sem rendimento,66695650719.3188
81,2013-03,0.47,2013-03,Acima de 20 salários mínimos,208639156418.216
82,2013-03,0.47,2013-03,Até 1 salário mínimo,65344421199.22652
83,2013-03,0.47,2013-03,Indisponível,3455525148.6756396
84,2013-03,0.47,2013-03,Mais de 1 a 2 salários mínimos,87954065357.93481
85,2013-03,0.47,2013-03,Mais de 10 a 20 salários mínimos,170840352716.13028
86,2013-03,0.47,2013-03,Mais de 2 a 3 salários mínimos,109828284596.42017
87,2013-03,0.47,2013-03,Mais de 3 a 5 salários mínimos,158201616016.57794
88,2013-03,0.47,2013-03,Mais de 5 a 10 salários mínimos,199995945219.239
89,2013-03,0.47,2013-03,Sem rendimento,50379796709.85438
90,2013-04,0.55,2013-04,Acima de 20 salários mínimos,224244418076.8544
91,2013-04,0.55,2013-04,Até 1 salário mínimo,38871448547.503654
92,2013-04,0.55,2013-04,Indisponível,3248145747.02923
93,2013-04,0.55,2013-04,Mais de 1 a 2 salários mínimos,98528048087.43861
94,2013-04,0.55,2013-04,Mais de 10 a 20 salários mínimos,179635185789.58224
95,2013-04,0.55,2013-04,Mais de 2 a 3 salários mínimos,121112008511.4772
96,2013-04,0.55,2013-04,Mais de 3 a 5 salários mínimos,168135176925.04108
97,2013-04,0.55,2013-04,Mais de 5 a 10 salários mínimos,207948380434.91846
98,2013-04,0.55,2013-04,Sem rendimento,46824799054.16166
99,2013-05,0.37,2013-05,Acima de 20 salários mínimos,231003535572.0424
100,2013-05,0.37,2013-05,Até 1 salário mínimo,44450422519.099304
101,2013-05,0.37,2013-05,Indisponível,3032904113.114083
102,2013-05,0.37,2013-05,Mais de 1 a 2 salários mínimos,108464044914.43619
103,2013-05,0.37,2013-05,Mais de 10 a 20 salários mínimos,180759061005.7293
104,2013-05,0.37,2013-05,Mais de 2 a 3 salários mínimos,121647444891.289
105,2013-05,0.37,2013-05,Mais de 3 a 5 salários mínimos,168282028927.0086
106,2013-05,0.37,2013-05,Mais de 5 a 10 salários mínimos,210727460982.88586
107,2013-05,0.37,2013-05,Sem rendimento,36111986841.42707
108,2013-06,0.26,2013-06,Acima de 20 salários mínimos,236331674865.15228
109,2013-06,0.26,2013-06,Até 1 salário mínimo,47132064661.51026
110,2013-06,0.26,2013-06,Indisponível,2853820576.1375732
111,2013-06,0.26,2013-06,Mais de 1 a 2 salários mínimos,108470732707.14066
112,2013-06,0.26,2013-06,Mais de 10 a 20 salários mínimos,180336730272.20615
113,2013-06,0.26,2013-06,Mais de 2 a 3 salários mínimos,122743977608.48038
114,2013-06,0.26,2013-06,Mais de 3 a 5 salários mínimos,167460148287.19818
115,2013-06,0.26,2013-06,Mais de 5 a 10 salários mínimos,210260880944.49353
116,2013-06,0.26,2013-06,Sem rendimento,37843936235.15257
117,2013-07,0.03,2013-07,Acima de 20 salários mínimos,243374572806.27954
118,2013-07,0.03,2013-07,Até 1 salário mínimo,48553538682.84674
119,2013-07,0.03,2013-07,Indisponível,2683022251.739697
120,2013-07,0.03,2013-07,Mais de 1 a 2 salários mínimos,109033769869.04361
121,2013-07,0.03,2013-07,Mais de 10 a 20 salários mínimos,186081925068.57306
122,2013-07,0.03,2013-07,Mais de 2 a 3 salários mínimos,124263844389.75165
123,2013-07,0.03,2013-07,Mais de 3 a 5 salários mínimos,170858392653.78326
124,2013-07,0.03,2013-07,Mais de 5 a 10 salários mínimos,215031861044.02893
125,2013-07,0.03,2013-07,Sem rendimento,39104477402.74249
126,2013-08,0.24,2013-08,Acima de 20 salários mínimos,250253749882.98175
127,2013-08,0.24,2013-08,Até 1 salário mínimo,47149286935.43538
128,2013-08,0.24,2013-08,Indisponível,2545754806.5320115
129,2013-08,0.24,2013-08,Mais de 1 a 2 salários mínimos,109428637154.44373
130,2013-08,0.24,2013-08,Mais de 10 a 20 salários mínimos,189176573231.89728
131,2013-08,0.24,2013-08,Mais de 2 a 3 salários mínimos,125022028553.17632
132,2013-08,0.24,2013-08,Mais de 3 a 5 salários mínimos,172790864686.68542
133,2013-08,0.24,2013-08,Mais de 5 a 10 salários mínimos,219480416796.43445
134,2013-08,0.24,2013-08,Sem rendimento,37829864515.05253
135,2013-09,0.35,2013-09,Acima de 20 salários mínimos,251542862458.05692
136,2013-09,0.35,2013-09,Até 1 salário mínimo,51507320335.67896
137,2013-09,0.35,2013-09,Indisponível,2399048026.528034
138,2013-09,0.35,2013-09,Mais de 1 a 2 salários mínimos,108174521860.7429
139,2013-09,0.35,2013-09,Mais de 10 a 20 salários mínimos,190235662426.91077
140,2013-09,0.35,2013-09,Mais de 2 a 3 salários mínimos,124599952567.57578
141,2013-09,0.35,2013-09,Mais de 3 a 5 salários mínimos,173628317663.7432
142,2013-09,0.35,2013-09,Mais de 5 a 10 salários mínimos,218391214704.3464
143,2013-09,0.35,2013-09,Sem rendimento,38422010653.84157
144,2013-10,0.57,2013-10,Acima de 20 salários mínimos,246736259035.64926
145,2013-10,0.57,2013-10,Até 1 salário mínimo,58419938235.86882
146,2013-10,0.57,2013-10,Indisponível,2245614138.9022646
147,2013-10,0.57,2013-10,Mais de 1 a 2 salários mínimos,109868135293.96591
148,2013-10,0.57,2013-10,Mais de 10 a 20 salários mínimos,191723177597.37662
149,2013-10,0.57,2013-10,Mais de 2 a 3 salários mínimos,125681118183.65628
150,2013-10,0.57,2013-10,Mais de 3 a 5 salários mínimos,174380022122.88306
151,2013-10,0.57,2013-10,Mais de 5 a 10 salários mínimos,221130594934.0189
152,2013-10,0.57,2013-10,Sem rendimento,38340595690.52334
153,2013-11,0.54,2013-11,Acima de 20 salários mínimos,239360883891.32516
154,2013-11,0.54,2013-11,Até 1 salário mínimo,61966394774.196
155,2013-11,0.54,2013-11,Indisponível,2099932808.2078502
156,2013-11,0.54,2013-11,Mais de 1 a 2 salários mínimos,107033743933.3759
157,2013-11,0.54,2013-11,Mais de 10 a 20 salários mínimos,188635235757.9544
158,2013-11,0.54,2013-11,Mais de 2 a 3 salários mínimos,123717800074.51064
159,2013-11,0.54,2013-11,Mais de 3 a 5 salários mínimos,173471683314.1408
160,2013-11,0.54,2013-11,Mais de 5 a 10 salários mínimos,220268480452.74963
161,2013-11,0.54,2013-11,Sem rendimento,50431664547.88169
162,2013-12,0.92,2013-12,Acima de 20 salários mínimos,236889480217.4017
163,2013-12,0.92,2013-12,Até 1 salário mínimo,70238225049.04831
164,2013-12,0.92,2013-12,Indisponível,1941371754.0291548
165,2013-12,0.92,2013-12,Mais de 1 a 2 salários mínimos,106716161073.96355
166,2013-12,0.92,2013-12,Mais de 10 a 20 salários mínimos,190297657584.30548
167,2013-12,0.92,2013-12,Mais de 2 a 3 salários mínimos,125482625985.1974
168,2013-12,0.92,2013-12,Mais de 3 a 5 salários mínimos,174548612186.47717
169,2013-12,0.92,2013-12,Mais de 5 a 10 salários mínimos,220052985654.1804
170,2013-12,0.92,2013-12,Sem rendimento,61526873608.71059
171,2014-01,0.55,2014-01,Acima de 20 salários mínimos,245972299140.28458
172,2014-01,0.55,2014-01,Até 1 salário mínimo,76205625695.12831
173,2014-01,0.55,2014-01,Indisponível,1827711633.6160717
174,2014-01,0.55,2014-01,Mais de 1 a 2 salários mínimos,109010999422.53975
175,2014-01,0.55,2014-01,Mais de 10 a 20 salários mínimos,193962013621.51492
176,2014-01,0.55,2014-01,Mais de 2 a 3 salários mínimos,124084497592.43768
177,2014-01,0.55,2014-01,Mais de 3 a 5 salários mínimos,175440683806.9257
178,2014-01,0.55,2014-01,Mais de 5 a 10 salários mínimos,222667833958.9749
179,2014-01,0.55,2014-01,Sem rendimento,41288595648.70529
180,2014-02,0.69,2014-02,Acima de 20 salários mínimos,243510859399.22244
181,2014-02,0.69,2014-02,Até 1 salário mínimo,38441319654.60311
182,2014-02,0.69,2014-02,Indisponível,1733258445.9990075
183,2014-02,0.69,2014-02,Mais de 1 a 2 salários mínimos,127241685143.65341
184,2014-02,0.69,2014-02,Mais de 10 a 20 salários mínimos,195266448619.61755
185,2014-02,0.69,2014-02,Mais de 2 a 3 salários mínimos,138145675485.75638
186,2014-02,0.69,2014-02,Mais de 3 a 5 salários mínimos,178897486350.62167
187,2014-02,0.69,2014-02,Mais de 5 a 10 salários mínimos,238007436880.09604
188,2014-02,0.69,2014-02,Sem rendimento,40450244724.40088
189,2014-03,0.92,2014-03,Acima de 20 salários mínimos,238800790727.07843
190,2014-03,0.92,2014-03,Até 1 salário mínimo,59332229711.19899
191,2014-03,0.92,2014-03,Indisponível,1640532234.748651
192,2014-03,0.92,2014-03,Mais de 1 a 2 salários mínimos,128647813041.79099
193,2014-03,0.92,2014-03,Mais de 10 a 20 salários mínimos,195999822414.4455
194,2014-03,0.92,2014-03,Mais de 2 a 3 salários mínimos,138008974735.10376
195,2014-03,0.92,2014-03,Mais de 3 a 5 salários mínimos,177900389955.7131
196,2014-03,0.92,2014-03,Mais de 5 a 10 salários mínimos,238839317637.63156
197,2014-03,0.92,2014-03,Sem rendimento,26821219851.014965
198,2014-04,0.67,2014-04,Acima de 20 salários mínimos,241933379110.42972
199,2014-04,0.67,2014-04,Até 1 salário mínimo,65814927943.800476
200,2014-04,0.67,2014-04,Indisponível,1548218350.9711232
201,2014-04,0.67,2014-04,Mais de 1 a 2 salários mínimos,128409422072.68428
202,2014-04,0.67,2014-04,Mais de 10 a 20 salários mínimos,196529242963.77078
203,2014-04,0.67,2014-04,Mais de 2 a 3 salários mínimos,139013269654.63602
204,2014-04,0.67,2014-04,Mais de 3 a 5 salários mínimos,177930476694.78577
205,2014-04,0.67,2014-04,Mais de 5 a 10 salários mínimos,240229981144.37524
206,2014-04,0.67,2014-04,Sem rendimento,26881158563.57367
207,2014-05,0.46,2014-05,Acima de 20 salários mínimos,252342685545.85345
208,2014-05,0.46,2014-05,Até 1 salário mínimo,60195475471.3034
209,2014-05,0.46,2014-05,Indisponível,1462624093.7304533
210,2014-05,0.46,2014-05,Mais de 1 a 2 salários mínimos,126720334393.25998
211,2014-05,0.46,2014-05,Mais de 10 a 20 salários mínimos,200184201078.5539
212,2014-05,0.46,2014-05,Mais de 2 a 3 salários mínimos,140273681969.029
213,2014-05,0.46,2014-05,Mais de 3 a 5 salários mínimos,179187139384.40778
214,2014-05,0.46,2014-05,Mais de 5 a 10 salários mínimos,243307255107.42236
215,2014-05,0.46,2014-05,Sem rendimento,26249723166.158623
216,2014-06,0.4,2014-06,Acima de 20 salários mínimos,258506384412.563
217,2014-06,0.4,2014-06,Até 1 salário mínimo,63631608234.714905
218,2014-06,0.4,2014-06,Indisponível,1389356721.0677607
219,2014-06,0.4,2014-06,Mais de 1 a 2 salários mínimos,126231600551.29498
220,2014-06,0.4,2014-06,Mais de 10 a 20 salários mínimos,203026217028.54227
221,2014-06,0.4,2014-06,Mais de 2 a 3 salários mínimos,141375999567.35654
222,2014-06,0.4,2014-06,Mais de 3 a 5 salários mínimos,179928360963.10556
223,2014-06,0.4,2014-06,Mais de 5 a 10 salários mínimos,243951353678.43277
224,2014-06,0.4,2014-06,Sem rendimento,24664888868.919872
225,2014-07,0.01,2014-07,Acima de 20 salários mínimos,265992016633.56433
226,2014-07,0.01,2014-07,Até 1 salário mínimo,55284854700.855225
227,2014-07,0.01,2014-07,Indisponível,1325735539.6041026
228,2014-07,0.01,2014-07,Mais de 1 a 2 salários mínimos,125103037113.55347
229,2014-07,0.01,2014-07,Mais de 10 a 20 salários mínimos,208342907896.55066
230,2014-07,0.01,2014-07,Mais de 2 a 3 salários mínimos,142682134513.9436
231,2014-07,0.01,2014-07,Mais de 3 a 5 salários mínimos,181102067587.8646
232,2014-07,0.01,2014-07,Mais de 5 a 10 salários mínimos,248269634333.19556
233,2014-07,0.01,2014-07,Sem rendimento,25861876437.33805
234,2014-08,0.25,2014-08,Acima de 20 salários mínimos,262823351354.8054
235,2014-08,0.25,2014-08,Até 1 salário mínimo,35854875499.21824
236,2014-08,0.25,2014-08,Indisponível,1278335085.1746373
237,2014-08,0.25,2014-08,Mais de 1 a 2 salários mínimos,126344490618.35736
238,2014-08,0.25,2014-08,Mais de 10 a 20 salários mínimos,208993980544.06595
239,2014-08,0.25,2014-08,Mais de 2 a 3 salários mínimos,144136971178.04028
240,2014-08,0.25,2014-08,Mais de 3 a 5 salários mínimos,182353791742.8444
241,2014-08,0.25,2014-08,Mais de 5 a 10 salários mínimos,249947002135.39386
242,2014-08,0.25,2014-08,Sem rendimento,53749322555.484406
243,2014-09,0.57,2014-09,Acima de 20 salários mínimos,265847755032.58978
244,2014-09,0.57,2014-09,Até 1 salário mínimo,64080345896.33881
245,2014-09,0.57,2014-09,Indisponível,1227650914.02628
246,2014-09,0.57,2014-09,Mais de 1 a 2 salários mínimos,125300405747.879
247,2014-09,0.57,2014-09,Mais de 10 a 20 salários mínimos,210327398376.71436
248,2014-09,0.57,2014-09,Mais de 2 a 3 salários mínimos,144665049555.65735
249,2014-09,0.57,2014-09,Mais de 3 a 5 salários mínimos,182095869915.23056
250,2014-09,0.57,2014-09,Mais de 5 a 10 salários mínimos,249571664596.44485
251,2014-09,0.57,2014-09,Sem rendimento,27306897926.57494
252,2014-10,0.42,2014-10,Acima de 20 salários mínimos,267162983677.32742
253,2014-10,0.42,2014-10,Até 1 salário mínimo,67602188613.41126
254,2014-10,0.42,2014-10,Indisponível,1170899834.269388
255,2014-10,0.42,2014-10,Mais de 1 a 2 salários mínimos,126543533081.17482
256,2014-10,0.42,2014-10,Mais de 10 a 20 salários mínimos,212655063637.71774
257,2014-10,0.42,2014-10,Mais de 2 a 3 salários mínimos,146255835895.9953
258,2014-10,0.42,2014-10,Mais de 3 a 5 salários mínimos,183456747049.5163
259,2014-10,0.42,2014-10,Mais de 5 a 10 salários mínimos,252268328507.8634
260,2014-10,0.42,2014-10,Sem rendimento,27677697090.533554
261,2014-11,0.51,2014-11,Acima de 20 salários mínimos,268743986416.69897
262,2014-11,0.51,2014-11,Até 1 salário mínimo,73802176880.11707
263,2014-11,0.51,2014-11,Indisponível,1115723278.0757904
264,2014-11,0.51,2014-11,Mais de 1 a 2 salários mínimos,144468439773.22098
265,2014-11,0.51,2014-11,Mais de 10 a 20 salários mínimos,212226065311.4939
266,2014-11,0.51,2014-11,Mais de 2 a 3 salários mínimos,143724476767.17722
267,2014-11,0.51,2014-11,Mais de 3 a 5 salários mínimos,174893428440.15216
268,2014-11,0.51,2014-11,Mais de 5 a 10 salários mínimos,247473121192.78375
269,2014-11,0.51,2014-11,Sem rendimento,28435955846.006256
270,2014-12,0.78,2014-12,Acima de 20 salários mínimos,279830317831.70526
271,2014-12,0.78,2014-12,Até 1 salário mínimo,74900220873.00682
272,2014-12,0.78,2014-12,Indisponível,1065345949.9252753
273,2014-12,0.78,2014-12,Mais de 1 a 2 salários mínimos,127521419317.10869
274,2014-12,0.78,2014-12,Mais de 10 a 20 salários mínimos,215801581785.34665
275,2014-12,0.78,2014-12,Mais de 2 a 3 salários mínimos,147170874338.49725
276,2014-12,0.78,2014-12,Mais de 3 a 5 salários mínimos,181973195849.148
277,2014-12,0.78,2014-12,Mais de 5 a 10 salários mínimos,254033977969.5163
278,2014-12,0.78,2014-12,Sem rendimento,28220135244.711243
279,2015-01,1.24,2015-01,Acima de 20 salários mínimos,270582838474.2448
280,2015-01,1.24,2015-01,Até 1 salário mínimo,81960427287.72664
281,2015-01,1.24,2015-01,Indisponível,1022675207.4803928
282,2015-01,1.24,2015-01,Mais de 1 a 2 salários mínimos,131722426738.96686
283,2015-01,1.24,2015-01,Mais de 10 a 20 salários mínimos,213299845085.61575
284,2015-01,1.24,2015-01,Mais de 2 a 3 salários mínimos,148606890571.92416
285,2015-01,1.24,2015-01,Mais de 3 a 5 salários mínimos,184028076731.83386
286,2015-01,1.24,2015-01,Mais de 5 a 10 salários mínimos,253736744263.31442
287,2015-01,1.24,2015-01,Sem rendimento,28828994991.065544
288,2015-02,1.22,2015-02,Acima de 20 salários mínimos,260856441777.36063
289,2015-02,1.22,2015-02,Até 1 salário mínimo,86558344918.544
290,2015-02,1.22,2015-02,Indisponível,984327484.2589011
291,2015-02,1.22,2015-02,Mais de 1 a 2 salários mínimos,131799985178.24759
292,2015-02,1.22,2015-02,Mais de 10 a 20 salários mínimos,213020916588.11392
293,2015-02,1.22,2015-02,Mais de 2 a 3 salários mínimos,148497703163.2619
294,2015-02,1.22,2015-02,Mais de 3 a 5 salários mínimos,183152887577.1006
295,2015-02,1.22,2015-02,Mais de 5 a 10 salários mínimos,252763890935.23926
296,2015-02,1.22,2015-02,Sem rendimento,29155278852.383476
297,2015-03,1.32,2015-03,Acima de 20 salários mínimos,261104336786.60043
298,2015-03,1.32,2015-03,Até 1 salário mínimo,90118942405.48335
299,2015-03,1.32,2015-03,Indisponível,953469689.2305965
300,2015-03,1.32,2015-03,Mais de 1 a 2 salários mínimos,131719289676.7352
301,2015-03,1.32,2015-03,Mais de 10 a 20 salários mínimos,212115823542.1672
302,2015-03,1.32,2015-03,Mais de 2 a 3 salários mínimos,148127458622.91818
303,2015-03,1.32,2015-03,Mais de 3 a 5 salários mínimos,181648147758.63788
304,2015-03,1.32,2015-03,Mais de 5 a 10 salários mínimos,251538001231.44217
305,2015-03,1.32,2015-03,Sem rendimento,27447117173.79649
306,2015-04,0.71,2015-04,Acima de 20 salários mínimos,263204379216.14825
307,2015-04,0.71,2015-04,Até 1 salário mínimo,70559121865.82048
308,2015-04,0.71,2015-04,Indisponível,922135774.0033184
309,2015-04,0.71,2015-04,Mais de 1 a 2 salários mínimos,133224313990.43025
310,2015-04,0.71,2015-04,Mais de 10 a 20 salários mínimos,216934641434.88947
311,2015-04,0.71,2015-04,Mais de 2 a 3 salários mínimos,153585948942.0299
312,2015-04,0.71,2015-04,Mais de 3 a 5 salários mínimos,184888125233.4904
313,2015-04,0.71,2015-04,Mais de 5 a 10 salários mínimos,255718615603.64893
314,2015-04,0.71,2015-04,Sem rendimento,26912742004.70191
315,2015-05,0.74,2015-05,Acima de 20 salários mínimos,265680905012.89764
316,2015-05,0.74,2015-05,Até 1 salário mínimo,63324325202.51386
317,2015-05,0.74,2015-05,Indisponível,892122264.2437291
318,2015-05,0.74,2015-05,Mais de 1 a 2 salários mínimos,132055165107.98567
319,2015-05,0.74,2015-05,Mais de 10 a 20 salários mínimos,219018260079.0509
320,2015-05,0.74,2015-05,Mais de 2 a 3 salários mínimos,154327897657.7488
321,2015-05,0.74,2015-05,Mais de 3 a 5 salários mínimos,186042207037.614
322,2015-05,0.74,2015-05,Mais de 5 a 10 salários mínimos,256363276053.0546
323,2015-05,0.74,2015-05,Sem rendimento,26434946031.39922
324,2015-06,0.79,2015-06,Acima de 20 salários mínimos,266861852353.56946
325,2015-06,0.79,2015-06,Até 1 salário mínimo,65071394660.588394
326,2015-06,0.79,2015-06,Indisponível,865315975.9197942
327,2015-06,0.79,2015-06,Mais de 1 a 2 salários mínimos,130571372910.37524
328,2015-06,0.79,2015-06,Mais de 10 a 20 salários mínimos,219399070320.83035
329,2015-06,0.79,2015-06,Mais de 2 a 3 salários mínimos,154058620033.2291
