,data,valor,data_divida,porte,valor_deflacionado
72,2013-02,0.6,2013-02,Acima de 20 salários mínimos,191749148918.9912
73,2013-02,0.6,2013-02,Até 1 salário mínimo,55488787552.65927
74,2013-02,0.6,2013-02,Indisponível,3816345333.886193
75,2013-02,0.6,2013-02,Mais de 1 a 2 salários mínimos,110622361063.6972
76,2013-02,0.6,2013-02,Mais de 10 a 20 salários mínimos,163837210814.1623
77,2013-02,0.6,2013-02,Mais de 2 a 3 salários mínimos,125380503401.20905
78,2013-02,0.6,2013-02,Mais de 3 a 5 salários mínimos,166789602398.0335
79,2013-02,0.6,2013-02,Mais de 5 a 10 salários mínimos,202667371196.2298
80,2013-02,0.6,2013-02,Sem rendimento,68487755598.8275
81,2013-03,0.47,2013-03,Acima de 20 salários mínimos,214245267854.88516
82,2013-03,0.47,2013-03,Até 1 salário mínimo,67100218688.52046
83,2013-03,0.47,2013-03,Indisponível,3548374733.5199018
84,2013-03,0.47,2013-03,Mais de 1 a 2 salários mínimos,90317381526.23973
85,2013-03,0.47,2013-03,Mais de 10 a 20 salários mínimos,175430814409.17264
86,2013-03,0.47,2013-03,Mais de 2 a 3 salários mínimos,112779358656.131
87,2013-03,0.47,2013-03,Mais de 3 a 5 salários mínimos,162452476229.37668
88,2013-03,0.47,2013-03,Mais de 5 a 10 salários mínimos,205369814511.22177
89,2013-03,0.47,2013-03,Sem rendimento,51733496367.00811
90,2013-04,0.55,2013-04,Acima de 20 salários mínimos,230269841196.71188
91,2013-04,0.55,2013-04,Até 1 salário mínimo,39915920141.44187
92,2013-04,0.55,2013-04,Indisponível,3335423069.910503
93,2013-04,0.55,2013-04,Mais de 1 a 2 salários mínimos,101175486021.42105
94,2013-04,0.55,2013-04,Mais de 10 a 20 salários mínimos,184461963690.58438
95,2013-04,0.55,2013-04,Mais de 2 a 3 salários mínimos,124366275005.31396
96,2013-04,0.55,2013-04,Mais de 3 a 5 salários mínimos,172652950838.85266
97,2013-04,0.55,2013-04,Mais de 5 a 10 salários mínimos,213535930796.06073
98,2013-04,0.55,2013-04,Sem rendimento,48082976311.02845
99,2013-05,0.37,2013-05,Acima de 20 salários mínimos,237210575443.72183
100,2013-05,0.37,2013-05,Até 1 salário mínimo,45644800536.75957
101,2013-05,0.37,2013-05,Indisponível,3114397916.706577
102,2013-05,0.37,2013-05,Mais de 1 a 2 salários mínimos,111378462002.2975
103,2013-05,0.37,2013-05,Mais de 10 a 20 salários mínimos,185616037311.53134
104,2013-05,0.37,2013-05,Mais de 2 a 3 salários mínimos,124916098502.40518
105,2013-05,0.37,2013-05,Mais de 3 a 5 salários mínimos,172803748738.1381
106,2013-05,0.37,2013-05,Mais de 5 a 10 salários mínimos,216389684936.0367
107,2013-05,0.37,2013-05,Sem rendimento,37082311999.504135
108,2013-06,0.26,2013-06,Acima de 20 salários mínimos,242681881260.02936
109,2013-06,0.26,2013-06,Até 1 salário mínimo,48398498111.82139
110,2013-06,0.26,2013-06,Indisponível,2930502424.572663
111,2013-06,0.26,2013-06,Mais de 1 a 2 salários mínimos,111385329495.26442
112,2013-06,0.26,2013-06,Mais de 10 a 20 salários mínimos,185182358597.1406
113,2013-06,0.26,2013-06,Mais de 2 a 3 salários mínimos,126042094934.42395
114,2013-06,0.26,2013-06,Mais de 3 a 5 salários mínimos,171959784254.9422
115,2013-06,0.26,2013-06,Mais de 5 a 10 salários mínimos,215910567942.76852
116,2013-06,0.26,2013-06,Sem rendimento,38860798685.03326
117,2013-07,0.03,2013-07,Acima de 20 salários mínimos,249914021102.6907
118,2013-07,0.03,2013-07,Até 1 salário mínimo,49858166985.47969
119,2013-07,0.03,2013-07,Indisponível,2755114767.7780843
120,2013-07,0.03,2013-07,Mais de 1 a 2 salários mínimos,111963495404.45915
121,2013-07,0.03,2013-07,Mais de 10 a 20 salários mínimos,191081926152.7093
122,2013-07,0.03,2013-07,Mais de 2 a 3 salários mínimos,127602800370.77307
123,2013-07,0.03,2013-07,Mais de 3 a 5 salários mínimos,175449339077.98795
124,2013-07,0.03,2013-07,Mais de 5 a 10 salários mínimos,220809743758.57935
125,2013-07,0.03,2013-07,Sem rendimento,40155210456.67151
126,2013-08,0.24,2013-08,Acima de 20 salários mínimos,256978040919.1098
127,2013-08,0.24,2013-08,Até 1 salário mínimo,48416183146.37339
128,2013-08,0.24,2013-08,Indisponível,2614158961.2499633
129,2013-08,0.24,2013-08,Mais de 1 a 2 salários mínimos,112368972730.8633
130,2013-08,0.24,2013-08,Mais de 10 a 20 salários mínimos,194259727175.53845
131,2013-08,0.24,2013-08,Mais de 2 a 3 salários mínimos,128381356860.19177
132,2013-08,0.24,2013-08,Mais de 3 a 5 salários mínimos,177433736424.19504
133,2013-08,0.24,2013-08,Mais de 5 a 10 salários mínimos,225377831720.12698
134,2013-08,0.24,2013-08,Sem rendimento,38846348859.34489
135,2013-09,0.35,2013-09,Acima de 20 salários mínimos,258301791808.84433
136,2013-09,0.35,2013-09,Até 1 salário mínimo,52891316430.00375
137,2013-09,0.35,2013-09,Indisponível,2463510186.026409
138,2013-09,0.35,2013-09,Mais de 1 a 2 salários mínimos,111081159495.64651
139,2013-09,0.35,2013-09,Mais de 10 a 20 salários mínimos,195347273982.01157
140,2013-09,0.35,2013-09,Mais de 2 a 3 salários mínimos,127947939738.77261
141,2013-09,0.35,2013-09,Mais de 3 a 5 salários mínimos,178293691671.64612
142,2013-09,0.35,2013-09,Mais de 5 a 10 salários mínimos,224259362886.31067
143,2013-09,0.35,2013-09,Sem rendimento,39454405900.46805
144,2013-10,0.57,2013-10,Acima de 20 salários mínimos,253366035475.35092
145,2013-10,0.57,2013-10,Até 1 salário mínimo,59989675621.19989
146,2013-10,0.57,2013-10,Indisponível,2305953546.5310564
147,2013-10,0.57,2013-10,Mais de 1 a 2 salários mínimos,112820280137.58473
148,2013-10,0.57,2013-10,Mais de 10 a 20 salários mínimos,196874758523.29224
149,2013-10,0.57,2013-10,Mais de 2 a 3 salários mínimos,129058156157.34534
150,2013-10,0.57,2013-10,Mais de 3 a 5 salários mínimos,179065594347.8308
151,2013-10,0.57,2013-10,Mais de 5 a 10 salários mínimos,227072349964.75784
152,2013-10,0.57,2013-10,Sem rendimento,39370803325.941986
153,2013-11,0.54,2013-11,Acima de 20 salários mínimos,245792484803.2106
154,2013-11,0.54,2013-11,Até 1 salário mínimo,63631425060.919525
155,2013-11,0.54,2013-11,Indisponível,2156357774.3284616
156,2013-11,0.54,2013-11,Mais de 1 a 2 salários mínimos,109909728989.46786
157,2013-11,0.54,2013-11,Mais de 10 a 20 salários mínimos,193703844022.5588
158,2013-11,0.54,2013-11,Mais de 2 a 3 salários mínimos,127042083904.18161
159,2013-11,0.54,2013-11,Mais de 3 a 5 salários mínimos,178132848574.109
160,2013-11,0.54,2013-11,Mais de 5 a 10 salários mínimos,226187070561.15985
161,2013-11,0.54,2013-11,Sem rendimento,51786757888.200905
162,2013-12,0.92,2013-12,Acima de 20 salários mínimos,243254674781.41425
163,2013-12,0.92,2013-12,Até 1 salário mínimo,72125518515.42677
164,2013-12,0.92,2013-12,Indisponível,1993536201.8726525
165,2013-12,0.92,2013-12,Mais de 1 a 2 salários mínimos,109583612713.17055
166,2013-12,0.92,2013-12,Mais de 10 a 20 salários mínimos,195410934942.5415
167,2013-12,0.92,2013-12,Mais de 2 a 3 salários mínimos,128854330495.10634
168,2013-12,0.92,2013-12,Mais de 3 a 5 salários mínimos,179238714408.09402
169,2013-12,0.92,2013-12,Mais de 5 a 10 salários mínimos,225965785440.7951
170,2013-12,0.92,2013-12,Sem rendimento,63180094009.529724
171,2014-01,0.55,2014-01,Acima de 20 salários mínimos,252581548060.70328
172,2014-01,0.55,2014-01,Até 1 salário mínimo,78253262567.7182
173,2014-01,0.55,2014-01,Indisponível,1876822046.3883014
174,2014-01,0.55,2014-01,Mais de 1 a 2 salários mínimos,111940113118.53474
175,2014-01,0.55,2014-01,Mais de 10 a 20 salários mínimos,199173751827.853
