data_base,a_vencer_ate_90_dias,a_vencer_de_91_ate_360_dias,a_vencer_de_361_ate_1080_dias,a_vencer_de_1081_ate_1800_dias,a_vencer_de_1801_ate_5400_dias,a_vencer_acima_de_5400_dias,vencido_acima_de_15_dias,carteira_ativa,carteira_inadimplida_arrastada,ativo_problematico
2021-07-31,716830868553.4097,944524720865.2599,1114886632974.5298,497109281748.66986,711560412331.4401,186820388570.88998,62271307343.39001,4234003612387.59,85281352611.29999,263879043763.6299
2021-05-31,700890178099.0199,915981358521.3499,1096467748256.85,484724007361.22,686623675613.08,184063983329.46002,62938732254.45,4131689683435.43,84364891168.46002,267519484723.87994
2021-11-30,778252386155.1698,1062634061867.8097,1155414103858.86,526031767472.50006,751726774209.2399,193995544055.16003,69577214641.46002,4537631852260.2,91920802260.49,277635418744.01
2021-10-31,760888408434.5,1026562280190.0399,1152119451327.83,520171841738.02014,743472011703.0201,192557503387.49,65617822380.01,4461389319160.911,89101142035.43,272875686303.23
2021-04-30,689133496222.4199,903494989900.31,1086895856621.0801,486805553477.7898,680611740286.4501,180333225445.37,58118574039.79,4085393435993.2114,78372433224.15002,267226637241.52997
2022-08-31,926738743630.7494,1161124267289.3801,1252484053157.7302,578860148518.7098,797642482784.9296,209174222830.74002,98827665835.86,5024851584048.1,123400972838.59999,335834450887.45996
2022-09-30,946415643795.6796,1187477879676.1497,1266208307985.8203,596210779325.59,807255404241.3297,210240086718.09003,102127385421.47002,5115935487164.13,126241164917.87003,342360009704.07007
2022-01-31,830260747326.9,1066942094647.61,1173959185974.1401,526988333329.64,758532562888.8098,197024146257.42996,75615585953.79001,4629322656378.32,99695784362.63998,289193925045.57007
2022-02-28,858436047577.1902,1066188165368.3799,1176317510368.1104,532431106669.4699,762943291513.4796,197780654718.47006,77948314757.7,4672045090972.804,104040211133.62,294827759760.21014
2022-03-31,894807737850.86,1071152639871.12,1181623211696.1096,537862168798.69,766075646483.0298,199213117864.40994,82314825166.33998,4733049347730.562,106419828999.61998,305634578664.5698
2022-07-31,933715804280.47,1123694813883.7297,1229720476378.7202,562104454555.41,791890440915.9098,206501247031.69998,95009496970.15001,4942636734016.092,118751421391.27998,329595673584.66003
2022-12-31,975281824113.7501,1241476044205.21,1311917472240.7402,613490060998.16,824256328940.54,215931227891.85,109354832499.54,5291707790889.79,137747630019.82996,380942819746.78986
2022-06-30,934960437915.1399,1109972586053.5095,1213568609113.9897,564683584364.6901,786336164486.3599,204937981024.18,89333644749.44998,4903793007707.32,111736756094.04,319022364929.64996
2022-10-31,931469043922.6305,1213614997161.4,1280586191558.45,597374178102.81,806709409872.0201,211759927856.84006,106170759989.19994,5147684508463.35,132121637123.02,350743909803.76
2022-04-30,907243997265.4001,1075245747816.18,1191346421242.6794,546406055929.4399,765980180993.0599,200719212330.0601,85225157142.96,4772166772719.779,109946358273.13998,308030877142.17993
2022-05-31,912117965099.03,1093561780945.5702,1205186592877.6897,549830921910.6499,773634979708.09,202815335522.8799,88610383101.31001,4825757959165.222,113991005289.70999,314693963297.0
2022-11-30,941053971989.8104,1229123741232.2305,1292810667589.5308,608730060967.5603,814493588406.4604,213279000435.67,112408000541.70007,5211899031162.96,134087653909.56003,355265875947.4201
2023-08-31,981372193035.4498,1234509817537.6497,1390765846953.71,643964864284.44,862313233026.6598,221500018650.47998,132566405515.19,5466992379003.58,172772163251.14,412591862343.12006
2023-02-28,973882546552.2002,1197421503752.1895,1321630312304.86,628821330486.3599,824501915764.5101,217128267906.10013,122897725672.68999,5286283602438.909,152686873027.61,398816985566.88007
2023-03-31,1008629318539.6602,1197270988891.7598,1333082637049.42,631545708940.3601,831999963543.0104,215389179744.27994,126417726766.85999,5344335523475.349,153655860089.41003,397278156261.56976
2023-01-31,961123766573.1201,1220794000225.3203,1315817039734.4895,621113040798.3297,822313527224.4603,216626739708.48996,120746494290.98001,5278534608555.191,145632277235.19,392590428534.48
2023-04-30,1004401936032.1895,1174795298243.03,1341407059327.12,633761663828.5199,836586929037.3798,216285982730.72,131143872850.53,5338382742049.491,163116886781.73007,402245422859.12
2023-05-31,995566211597.9601,1191290137044.7903,1354743893543.9202,629585946326.9401,841896987242.0302,217766940878.47006,134312044284.45001,5365162160918.561,170350282327.8899,409450360909.76996
2023-07-31,979487308698.5597,1201575798887.3896,1367733504556.4797,631145418882.4103,851203004009.1802,220610817427.66006,132458661560.79007,5384214514022.471,170575386618.06,409799557267.3698
2023-06-30,1001807780068.0298,1188091147649.8198,1358903515036.8203,638321069083.8298,847200086216.6399,219284735463.55005,131595357563.37999,5385203691082.071,166722945048.0999,405295765781.0101
