cnae_secao,Entrada,Nascimento,Reentrada,Saída de atividade,Sobrevivente,Total de empresas ativas,data_base,carteira_ativa,ativo_problematico,Seção CNAE e ano,Saída de atividade/Total
Informação e comunicação,47222.0,40598.0,6624.0,25305.0,143776.0,190998.0,2021,27125540931.3,5614261699.389999,Informação e comunicação (2021),0.13248829830678854
"Atividades financeiras, de seguros e serviços relacionados",29614.0,26213.0,3401.0,16233.0,128684.0,158298.0,2021,86396662671.29,9474746626.85,"Atividades financeiras, de seguros e serviços relacionados (2021)",0.1025470947200849
Atividades imobiliárias,27909.0,24401.0,3508.0,9695.0,135668.0,163577.0,2021,22332661176.11,1518937253.2,Atividades imobiliárias (2021),0.05926872359806085
"Atividades profissionais, científicas e técnicas",105994.0,91118.0,14876.0,52631.0,361564.0,467558.0,2021,30804336485.03,5605963770.44,"Atividades profissionais, científicas e técnicas (2021)",0.11256571377240898
Atividades administrativas e serviços complementares,75842.0,62672.0,13170.0,49478.0,286475.0,362317.0,2021,82542677791.06,4659625015.18,Atividades administrativas e serviços complementares (2021),0.13655997372466652
"Administração pública, defesa e seguridade social",18.0,14.0,4.0,11.0,174.0,192.0,2021,162686392918.14,1551400971.9,"Administração pública, defesa e seguridade social (2021)",0.057291666666666664
Educação,25899.0,21668.0,4231.0,15740.0,106174.0,132073.0,2021,14589871785.3,1323954679.94,Educação (2021),0.1191765160176569
Saúde humana e serviços sociais,70290.0,63936.0,6354.0,25074.0,267262.0,337552.0,2021,31570939208.2,1074412602.07,Saúde humana e serviços sociais (2021),0.07428188842015453
"Artes, cultura, esporte e recreação",13592.0,10958.0,2634.0,9414.0,47123.0,60715.0,2021,5838072651.86,1130877952.3700001,"Artes, cultura, esporte e recreação (2021)",0.15505229350242938
Outras atividades de serviços,20467.0,16885.0,3582.0,15725.0,81343.0,101810.0,2021,24344141583.79,1129582862.39,Outras atividades de serviços (2021),0.1544543757980552
